ColonyID,Individual,ReproductiveStage,Date,Size,Time,Duration(min),Treatment,Trip,FSequence,NectarValue,ChoiceNumber,NumChoices,NumRisky,PropRisky,DayColReceived,DaysOld,ColorSafe,ColorRisky,ColorSR
A,Y96a,R,1-15-21,108,1245,6,E,2,"S,S,S,S,S,S,S,S,S,S,","1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,","8,9,10,11,12,13,14,15,16,17,",10,0,0,10-14-20,93,P,O,PO
A,Y97a,W,1-5-21,216,1038,17,E,1,"R,S,S,S,R,S,R,R,R,","2,1.25,1.25,1.25,0.5,1.25,2,0.5,2,","1,2,3,4,5,6,7,8,9,",9,5,0.555555556,10-14-20,83,P,B,PB
A,Y97a,W,1-5-21,216,1258,22,E,2,"S,S,R,R,R,S,S,R,R,S,","1.25,1.25,0.5,2,0.5,1.25,1.25,0.5,0.5,1.25,","10,11,12,13,14,15,16,17,18,19,",10,5,0.5,10-14-20,83,P,B,PB
B,B31b,R,10-21-20,31,1245,na,E,1,"S,R,S,R,S,R,","1.25,0.5,1.25,2,1.25,0.5,","1,2,3,4,5,6,",6,3,0.5,10-14-20,7,P,B,PB
B,B31b,R,10-21-20,31,1245,na,E,2,"S,S,S,R,S,R,","1.25,1.25,1.25,0.5,1.25,0.5,","7,8,9,10,11,12,",6,2,0.333333333,10-14-20,7,P,B,PB
B,B33b,R,10-21-20,31,1046,na,E,1,"R,R,S,S,R,S,","2,0.5,1.25,1.25,0.5,1.25,","1,2,3,4,5,6,",6,3,0.5,10-14-20,7,Y,O,YO
B,B33b,R,10-21-20,31,1059,na,E,2,"R,R,S,R,S,","2,0.5,1.25,0.5,1.25,","7,8,9,10,11,",5,3,0.6,10-14-20,7,Y,O,YO
C,B52c,W,12-2-20,138,1023,5,E,1,"S,R,S,R,S,S,S,S,R,S,S,","1.25,0.5,1.25,2,1.25,1.25,1.25,1.25,0.5,1.25,1.25,","1,2,3,4,5,6,7,8,9,10,11,",11,3,0.272727273,10-29-20,34,P,Y,PY
C,B52c,W,12-2-20,138,1031,6,E,2,"S,R,S,R,R,S,S,S,R,R,S,S,R,S,S,S,","1.25,2,1.25,2,0.5,1.25,1.25,1.25,2,0.5,1.25,1.25,0.5,1.25,1.25,1.25,","12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,",16,6,0.375,10-29-20,34,P,Y,PY
C,R20c,W,11-10-20,145,1414,6,E,1,"S,R,S,S,S,S,","1.25,0.5,1.25,1.25,1.25,1.25,","1,2,3,4,5,6,",6,1,0.166666667,10-29-20,12,P,O,PO
C,R20c,W,11-10-20,145,1424,4,E,2,"R,S,S,S,S,S,R,S,","2,1.25,1.25,1.25,1.25,1.25,2,1.25,","7,8,9,10,11,12,13,14,",8,2,0.25,10-29-20,12,P,O,PO
F,B11f,W,7-12-21,108,1007,20,E,1,"R,S,S,R,S,S,S,S,","0.5,1.25,1.25,2,1.25,1.25,1.25,1.25,","1,2,3,4,5,6,7,8,",8,2,0.25,4-23-21,80,P,B,PB
F,B11f,W,7-12-21,108,1039,20,E,2,"S,S,R,S,S,S,R,R,S,R,R,","1.25,1.25,0.5,1.25,1.25,1.25,0.5,2,1.25,2,2,","9,10,11,12,13,14,15,16,17,18,19,",11,5,0.454545455,4-23-21,80,P,B,PB
F,B35f,W,7-7-21,108,1003,15,E,1,"S,R,S,S,S,","1.25,0.5,1.25,1.25,1.25,","1,2,3,4,5,",5,1,0.2,4-23-21,75,B,O,BO
F,B35f,W,7-7-21,108,1025,15,E,2,"R,S,R,S,R,S,R,R,R,R,R,R,S,","2,1.25,2,1.25,0.5,1.25,0.5,0.5,0.5,2,0.5,2,1.25,","6,7,8,9,10,11,12,13,14,15,16,17,18,",13,9,0.692307692,4-23-21,75,B,O,BO
F,B36f,W,7-7-21,108,1147,10,E,1,"S,S,S,S,","1.25,1.25,1.25,1.25,","1,2,3,4,",4,0,0,4-23-21,75,B,O,BO
F,B36f,W,7-7-21,108,1201,14,E,2,"S,S,R,S,S,S,S,","1.25,1.25,0.5,1.25,1.25,1.25,1.25,","5,6,7,8,9,10,11,",7,1,0.142857143,4-23-21,75,B,O,BO
F,B42f,W,7-23-21,133,1302,16,E,1,"S,S,R,R,R,S,","1.25,1.25,2,0.5,0.5,1.25,","1,2,3,4,5,6,",6,3,0.5,4-23-21,91,P,B,PB
